Gene,Non-unique Gene name,Annotation,Gardnerella_greenwoodii_00703Dmash,Gardnerella_greenwoodii_101,Gardnerella_greenwoodii_c31Ua_26,Gardnerella_greenwoodii_UMB1686,Gardnerella_leopoldii_Ugent_06.41,Gardnerella_leopoldii_UMB0682,Gardnerella_leopoldii_UMB0742,Gardnerella_leopoldii_UMB0913,Gardnerella_leopoldii_UMB1489,Gardnerella_pickettii_00703Bmash,Gardnerella_pickettii_00703C2mash,Gardnerella_pickettii_c17Ua_112,Gardnerella_pickettii_GED7275B,Gardnerella_pickettii_JCP7659,Gardnerella_pickettii_JCP7719,Gardnerella_pickettii_JCP8017A,Gardnerella_pickettii_JCP8017B,Gardnerella_pickettii_UMB0830,Gardnerella_pickettii_UMB0833,Gardnerella_pickettii_UMB9259,Gardnerella_piotii_GH007,Gardnerella_piotii_GH020,Gardnerella_piotii_JNFY15,Gardnerella_piotii_UGent_18.01,Gardnerella_swidsinskii_GS_9838-1,Gardnerella_swidsinskii_GV37,Gardnerella_swidsinskii_JNFY3,Gardnerella_swidsinskii_UMB0170,Gardnerella_swidsinskii_UMB0264,Gardnerella_swidsinskii_UMB0411,Gardnerella_swidsinskii_UMB1698,Gardnerella_vaginalis_0288E,Gardnerella_vaginalis_1400E,Gardnerella_vaginalis_1500E,Gardnerella_vaginalis_284V,Gardnerella_vaginalis_315-A,Gardnerella_vaginalis_55152,Gardnerella_vaginalis_6119V5,Gardnerella_vaginalis_75712,Gardnerella_vaginalis_ATCC_14018-2,Gardnerella_vaginalis_ATCC_14018-3,Gardnerella_vaginalis_ATCC_14018,Gardnerella_vaginalis_ATCC_14019,Gardnerella_vaginalis_HMP9231
ompR,ompR,DNA-binding response regulator OmpR family contains REC and winged-helix (wHTH) domain,KJLOJH_03615,LNJOGA_02175,,,,,,,,KPEAED_05810,ELBENF_01370,LGGJCL_03200,DIAHAC_00180,IBBMBI_00965,EIINPM_00160,EHJGFL_02665,IKLBLD_03460,LFGIBF_02650,BMHCBD_01600,HEOCGC_06170,HIANCF_01595,PHGDKJ_02685,LJKDMD_05425,LEAIBD_02635,,PKJNEJ_04340,,,,NBEOAO_03915,,PHLMCF_00570,PKBKFP_00110,PIBPLO_06140,ANPMBA_05610,BAFCMA_00050,BLBGDF_04785,EHBDBJ_01035,HJLJNF_01370,BAJPIG_01035,APGEGG_04520,NEBDOP_05980,MGPBOF_06730,DFCAKE_00755
group_68,efiE,putative lantabiotic-exporting membrane pepmease EfiE/EfiG/ABC2 family,KJLOJH_03625,LNJOGA_02165,,,,,,,,KPEAED_05800,ELBENF_01380,LGGJCL_03210,DIAHAC_00190,IBBMBI_00955,EIINPM_00150,EHJGFL_02675,IKLBLD_03450,LFGIBF_02640,BMHCBD_01610,HEOCGC_06180,HIANCF_01605,PHGDKJ_02675,LJKDMD_05415,LEAIBD_02625,,PKJNEJ_04330,,,,NBEOAO_03905,,PHLMCF_00560,PKBKFP_00100,PIBPLO_06130,ANPMBA_05620,BAFCMA_00060,BLBGDF_04775,EHBDBJ_01025,HJLJNF_01380,BAJPIG_01045,APGEGG_04510,NEBDOP_05970,MGPBOF_06720,DFCAKE_00765
efiE,efiE,putative lantabiotic-exporting membrane pepmease EfiE/EfiG/ABC2 family,KJLOJH_03630,LNJOGA_02160,,,,,,,,KPEAED_05795,ELBENF_01385,LGGJCL_03215,DIAHAC_00195,IBBMBI_00950,EIINPM_00145,EHJGFL_02680,IKLBLD_03445,LFGIBF_02635,BMHCBD_01615,HEOCGC_06185,HIANCF_01610,PHGDKJ_02670,LJKDMD_05410,LEAIBD_02620,,PKJNEJ_04325,,,,NBEOAO_03900,,PHLMCF_00555,PKBKFP_00095,PIBPLO_06125,ANPMBA_05625,BAFCMA_00065,BLBGDF_04770,EHBDBJ_01020,HJLJNF_01385,BAJPIG_01050,APGEGG_04505,NEBDOP_05965,MGPBOF_06715,DFCAKE_00770
group_1515,,integrase;DNA recombinase;Integrase;Recombinase zinc beta ribbon domain-containing protein;Recombinase,,,,,,,,,,KPEAED_02690,ELBENF_04155,LGGJCL_02405,DIAHAC_05195,IBBMBI_00290,,EHJGFL_06545;EHJGFL_01440,IKLBLD_05815,LFGIBF_03420,BMHCBD_00800,HEOCGC_03830,HIANCF_00860,PHGDKJ_03410,LJKDMD_00050,LEAIBD_03345,AJAHNJ_06600,PKJNEJ_04315,,GPDHPC_04430,JCPCII_05100,NBEOAO_01165,,PHLMCF_03240,PKBKFP_01385,PIBPLO_03725,ANPMBA_00400,BAFCMA_02855,BLBGDF_04510,,HJLJNF_04325,BAJPIG_03845,APGEGG_05340,NEBDOP_03170,MGPBOF_03860,DFCAKE_03860
group_1350,,Addiction module antitoxin RelB/DinJ family protein;Addiction module antitoxin RelB/DinJ family,,,,,,,,,,KPEAED_01590,ELBENF_03660,LGGJCL_01340,DIAHAC_00700,IBBMBI_05655,EIINPM_06195,EHJGFL_05375,IKLBLD_04030,LFGIBF_04310,BMHCBD_04320,HEOCGC_00435,HIANCF_01650,PHGDKJ_02630,,LEAIBD_02580,AJAHNJ_02280,PKJNEJ_04455,AMDBBD_00420,GPDHPC_00665,JCPCII_02300,NBEOAO_01085,,PHLMCF_04000,PKBKFP_00160,PIBPLO_03560,ANPMBA_03745,,BLBGDF_04835,,HJLJNF_03010,BAJPIG_02535,APGEGG_03600,NEBDOP_04480,MGPBOF_05225,DFCAKE_02570
nnr2,nnr2;,NAD(P)H-hydrate repair enzyme Nnr NAD(P)H-hydrate dehydratase domain;ADP-dependent (S)-NAD(P)H-hydrate dehydratase,KJLOJH_04655,LNJOGA_03500,HJJLOO_00025,EPDCMN_01740,GPKCOC_03070,IHLOPM_01800,CLAOCJ_01945,GHNAGB_03980,IJGNPO_03890,,,,,13_refound_62_pseudo,,,,,,,,,,,AJAHNJ_02735,PKJNEJ_04860,AMDBBD_00895,GPDHPC_00170,JCPCII_01810,NBEOAO_00655,PCCNPO_01730,PHLMCF_05340,PKBKFP_01735,PIBPLO_05150,ANPMBA_00840,BAFCMA_03295,BLBGDF_03195,EHBDBJ_05105,HJLJNF_04765,BAJPIG_04285,APGEGG_04900,NEBDOP_02730,MGPBOF_03415,DFCAKE_04300
mngB,;mngB,Glycoside hydrolase family 38;Alpha-mannosidase,,,,,,,,,,KPEAED_01930,ELBENF_04860,LGGJCL_01670,DIAHAC_05930,IBBMBI_03740,EIINPM_03545,EHJGFL_02985,IKLBLD_02010,LFGIBF_04120,BMHCBD_00080,HEOCGC_03115,HIANCF_00115,PHGDKJ_04140,LJKDMD_00735,LEAIBD_04050,,PKJNEJ_05580,AMDBBD_01610,,,NBEOAO_05785,PCCNPO_00965,PHLMCF_04645,PKBKFP_06735,,ANPMBA_04330,BAFCMA_02210,BLBGDF_01710,,HJLJNF_03645,BAJPIG_03185,APGEGG_02950,NEBDOP_03830,MGPBOF_04525,DFCAKE_03225
group_834,,Transcriptional regulator,KJLOJH_02370,LNJOGA_05175,HJJLOO_05820,EPDCMN_05565,,,,,,KPEAED_03635,ELBENF_04995,,,,EIINPM_05530,,IKLBLD_04940,LFGIBF_06255,BMHCBD_06460,HEOCGC_04920,HIANCF_04305,PHGDKJ_06200,LJKDMD_02855,LEAIBD_05720,AJAHNJ_05910,,,GPDHPC_05905,JCPCII_05455,,,PHLMCF_05890,PKBKFP_02640,PIBPLO_05580,ANPMBA_02840,BAFCMA_01215,BLBGDF_06030,,HJLJNF_00030,BAJPIG_06575,APGEGG_05810,NEBDOP_00425,MGPBOF_01065,DFCAKE_00430
group_2376,thiS,sulfur carrier protein ThiS,KJLOJH_02205,LNJOGA_05345,HJJLOO_05600,EPDCMN_05690,GPKCOC_04870,IHLOPM_05945,CLAOCJ_00170,GHNAGB_05740,IJGNPO_05650,,,,,,,,,,,,,,,,AJAHNJ_06100,PKJNEJ_07010,AMDBBD_02890,GPDHPC_06080,JCPCII_05630,NBEOAO_05945,PCCNPO_06215,PHLMCF_06100,PKBKFP_02450,PIBPLO_05420,ANPMBA_02815,BAFCMA_01405,BLBGDF_06215,EHBDBJ_04535,HJLJNF_00245,BAJPIG_06365,APGEGG_05595,NEBDOP_00635,MGPBOF_01275,DFCAKE_06310
group_2310,;tauC,Binding-protein-dependent transport system inner membrane component;ABC-type nitrate/sulfonate/bicarbonate transport system permease component;ABC transporter permease protein,KJLOJH_03915,LNJOGA_02805,HJJLOO_00770,EPDCMN_02485,GPKCOC_02265,IHLOPM_02585,CLAOCJ_02720,GHNAGB_03120,IJGNPO_03075,,,,,,,,,,,,,,,,AJAHNJ_05045,PKJNEJ_03660,AMDBBD_00025,GPDHPC_01130,JCPCII_02965,NBEOAO_01530,PCCNPO_05615,PHLMCF_05500,PKBKFP_03345,PIBPLO_03090,ANPMBA_00680,BAFCMA_03135,BLBGDF_02965,EHBDBJ_01495,HJLJNF_04605,BAJPIG_04125,APGEGG_05060,NEBDOP_02890,MGPBOF_03575,DFCAKE_04140
group_2261,ugpE,ABC-type glycerol-3-phosphate transport system permease component,,,,,,,,,,KPEAED_03675,ELBENF_05035,LGGJCL_05730,DIAHAC_02595,IBBMBI_03500,EIINPM_05570,EHJGFL_02785,IKLBLD_04980,LFGIBF_06210,BMHCBD_06420,HEOCGC_04960,,,,,AJAHNJ_05975,PKJNEJ_07135,AMDBBD_03005,GPDHPC_05955,JCPCII_05505,NBEOAO_06235,PCCNPO_06090,PHLMCF_05945,PKBKFP_02595,,ANPMBA_02880,BAFCMA_01275,BLBGDF_06075,,HJLJNF_00090,BAJPIG_06515,APGEGG_05750,NEBDOP_00485,MGPBOF_01125,DFCAKE_00490
group_2247,purR,DNA-binding transcriptional regulator LacI/PurR family,,,,,,,,,,KPEAED_03685,ELBENF_05045,LGGJCL_05740,DIAHAC_02605,IBBMBI_03490,EIINPM_05580,EHJGFL_02775,IKLBLD_04990,LFGIBF_06200,BMHCBD_06410,HEOCGC_04970,,,,,AJAHNJ_05985,PKJNEJ_07125,AMDBBD_02995,GPDHPC_05965,JCPCII_05515,NBEOAO_06245,PCCNPO_06100,PHLMCF_05955,PKBKFP_02585,,ANPMBA_02890,BAFCMA_01285,BLBGDF_06085,,HJLJNF_00100,BAJPIG_06505,APGEGG_05740,NEBDOP_00495,MGPBOF_01135,DFCAKE_00500
group_2087,ugpA,ABC-type sugar transport system permease component,,,,,,,,,,KPEAED_03670,ELBENF_05030,LGGJCL_05725,DIAHAC_02590,IBBMBI_03505,EIINPM_05565,EHJGFL_02790,IKLBLD_04975,LFGIBF_06215,BMHCBD_06425,HEOCGC_04955,,,,,AJAHNJ_05970,PKJNEJ_07140,AMDBBD_03010,GPDHPC_05950,JCPCII_05500,NBEOAO_06230,PCCNPO_06085,PHLMCF_05940,PKBKFP_02600,,ANPMBA_02875,BAFCMA_01270,BLBGDF_06070,,HJLJNF_00085,BAJPIG_06520,APGEGG_05755,NEBDOP_00480,MGPBOF_01120,DFCAKE_00485
group_2043,;ugpB,hypothetical protein;ABC-type glycerol-3-phosphate transport system periplasmic component,,,,,,,,,,KPEAED_03665,ELBENF_05025,LGGJCL_05720,DIAHAC_02585,IBBMBI_03510,EIINPM_05560,EHJGFL_02795,IKLBLD_04970,LFGIBF_06220,BMHCBD_06430,HEOCGC_04950,,,,,AJAHNJ_05965,PKJNEJ_07145,AMDBBD_03015,GPDHPC_05945;GPDHPC_05940,JCPCII_05495;JCPCII_05490,NBEOAO_06225,PCCNPO_06080,PHLMCF_05935,PKBKFP_02605,,ANPMBA_02870,BAFCMA_01265,BLBGDF_06065,,HJLJNF_00080,BAJPIG_06525,APGEGG_05760,NEBDOP_00475,MGPBOF_01115,DFCAKE_00480
thiO,thiO,glycine oxidase ThiO,KJLOJH_02210,LNJOGA_05340,HJJLOO_05595,EPDCMN_05685,GPKCOC_04875,IHLOPM_05940,CLAOCJ_00165,GHNAGB_05745,IJGNPO_05655,,,,,,,,,,,,,,,,AJAHNJ_06095,PKJNEJ_07015,AMDBBD_02895,GPDHPC_06075,JCPCII_05625,NBEOAO_05940,PCCNPO_06210,PHLMCF_06095,PKBKFP_02455,PIBPLO_05425,ANPMBA_02820,BAFCMA_01400,BLBGDF_06210,EHBDBJ_04530,HJLJNF_00240,BAJPIG_06370,APGEGG_05600,NEBDOP_00630,MGPBOF_01270,DFCAKE_06315
group_1537,,Peptidase,KJLOJH_03265,LNJOGA_02495,HJJLOO_01075,EPDCMN_02790,GPKCOC_01940,IHLOPM_02905,CLAOCJ_03045,GHNAGB_02805,IJGNPO_02755,,,,,,,,,,,,,,,,AJAHNJ_04690,PKJNEJ_03345,AMDBBD_06155,GPDHPC_01490,JCPCII_03495,NBEOAO_01855,PCCNPO_05270,PHLMCF_04260,PKBKFP_00340,PIBPLO_03335,ANPMBA_03490,BAFCMA_01820,BLBGDF_04450,EHBDBJ_01180,HJLJNF_03255,BAJPIG_02770,APGEGG_03365,NEBDOP_04245,MGPBOF_04965,DFCAKE_02825
group_1532,;relB,Addiction module antitoxin RelB/DinJ family protein;Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module,KJLOJH_03595,LNJOGA_02195,,,,IHLOPM_03320,,,,KPEAED_05710,ELBENF_04165,LGGJCL_03315,DIAHAC_00455,IBBMBI_00300,,EHJGFL_06555,IKLBLD_06525,LFGIBF_03430,BMHCBD_01775,,HIANCF_01715,PHGDKJ_02565,,LEAIBD_02515,,PKJNEJ_02835,,,,,PCCNPO_02485,PHLMCF_03955,PKBKFP_00030,PIBPLO_03625,ANPMBA_03785,BAFCMA_05190,,EHBDBJ_02340,HJLJNF_02970,BAJPIG_02465,APGEGG_03670,NEBDOP_04550,MGPBOF_05290,DFCAKE_02530
group_1261,ompR;,DNA-binding response regulator OmpR family contains REC and winged-helix (wHTH) domain;Response regulator receiver domain protein;Response regulator of two-component system,KJLOJH_03245,LNJOGA_02515,HJJLOO_01055,EPDCMN_02770,GPKCOC_01960,IHLOPM_02885,CLAOCJ_03025,GHNAGB_02825,IJGNPO_02775,,,,,,,,,,,,,,,,AJAHNJ_04710,PKJNEJ_03365,AMDBBD_06175,GPDHPC_01470,JCPCII_03515,NBEOAO_01835,PCCNPO_05290,PHLMCF_04280,PKBKFP_00360,PIBPLO_02800,ANPMBA_03470,BAFCMA_01840,BLBGDF_04430,EHBDBJ_01200,HJLJNF_03275,BAJPIG_02790,APGEGG_03345,NEBDOP_04225,MGPBOF_04945,DFCAKE_02845
group_1260,glgB,14-alpha-glucan branching protein GlgB,KJLOJH_03240,LNJOGA_02520,HJJLOO_01050,EPDCMN_02765,GPKCOC_01965,IHLOPM_02880,CLAOCJ_03020,GHNAGB_02830,IJGNPO_02780,,,,,,,,,,,,,,,,AJAHNJ_04715,PKJNEJ_03370,AMDBBD_06180,GPDHPC_01465,JCPCII_03520,NBEOAO_01830,PCCNPO_05295,PHLMCF_04285,PKBKFP_00365,PIBPLO_02805,ANPMBA_03465,BAFCMA_01845,BLBGDF_04425,EHBDBJ_01205,HJLJNF_03280,BAJPIG_02795,APGEGG_03340,NEBDOP_04220,MGPBOF_04940,DFCAKE_02850
group_1142,cdnL;,RNA polymerase-interacting regulator CarD/CdnL/TRCF family;CarD-like protein,KJLOJH_03235,LNJOGA_02525,HJJLOO_01045,EPDCMN_02760,GPKCOC_01970,IHLOPM_02875,CLAOCJ_03015,GHNAGB_02835,IJGNPO_02785,,,,,,,,,,,,,,,,AJAHNJ_04720,PKJNEJ_03375,AMDBBD_06185,GPDHPC_01460,JCPCII_03525,NBEOAO_01825,PCCNPO_05300,PHLMCF_04290,PKBKFP_00370,PIBPLO_02810,ANPMBA_03460,BAFCMA_01850,BLBGDF_04420,EHBDBJ_01210,HJLJNF_03285,BAJPIG_02800,APGEGG_03335,NEBDOP_04215,MGPBOF_04935,DFCAKE_02855
thiC,thiC,phosphomethylpyrimidine synthase ThiC,KJLOJH_04830,LNJOGA_03675,HJJLOO_02750,EPDCMN_01540,GPKCOC_03250,IHLOPM_01620,CLAOCJ_01765,GHNAGB_04160,IJGNPO_04070,,,,,,,,,,,,,,,,AJAHNJ_02960,PKJNEJ_05050,AMDBBD_01085,GPDHPC_03160,JCPCII_02670,NBEOAO_00425,PCCNPO_01505,PHLMCF_05765,PKBKFP_04670,PIBPLO_01705,ANPMBA_02405,BAFCMA_01165,BLBGDF_03450,EHBDBJ_05295,HJLJNF_05045,BAJPIG_04565,APGEGG_04620,NEBDOP_02450,MGPBOF_03130,DFCAKE_04520
group_686,thiF,Molybdopterin or thiamine biosynthesis adenylyltransferase,KJLOJH_02195,LNJOGA_05355,HJJLOO_05610,EPDCMN_05700,GPKCOC_04860,IHLOPM_05955,CLAOCJ_00180,GHNAGB_05730,IJGNPO_05640,,,,,,,,,,,,,,,,AJAHNJ_06110,PKJNEJ_07000,AMDBBD_02880,GPDHPC_06090,JCPCII_05640,NBEOAO_05955,PCCNPO_06225,PHLMCF_06110,PKBKFP_02440,PIBPLO_05410,ANPMBA_02805,BAFCMA_01415,BLBGDF_06225,EHBDBJ_04545,HJLJNF_00255,BAJPIG_06355,APGEGG_05585,NEBDOP_00645,MGPBOF_01285,DFCAKE_06300
group_474,,Tat pathway signal sequence domain protein;hypothetical protein,KJLOJH_04975,,,,,,,,,KPEAED_02785,ELBENF_04060,LGGJCL_02500,DIAHAC_05100,IBBMBI_00195,EIINPM_00795,EHJGFL_06450,IKLBLD_00625,LFGIBF_03325,BMHCBD_00895,HEOCGC_03925,HIANCF_00960,PHGDKJ_03310,LJKDMD_06035,LEAIBD_03250,,,,,,,,PHLMCF_03335,PKBKFP_01290,PIBPLO_01555,ANPMBA_00495,BAFCMA_02950,BLBGDF_04615,EHBDBJ_05445;EHBDBJ_05440,HJLJNF_04420,BAJPIG_03940,APGEGG_05245,NEBDOP_03075,MGPBOF_03765,DFCAKE_03960
thiG,thiG,Thiazole synthase ThiGH ThiG subunit (thiamin biosynthesis),KJLOJH_02200,LNJOGA_05350,HJJLOO_05605,EPDCMN_05695,GPKCOC_04865,IHLOPM_05950,CLAOCJ_00175,GHNAGB_05735,IJGNPO_05645,,,,,,,,,,,,,,,,AJAHNJ_06105,PKJNEJ_07005,AMDBBD_02885,GPDHPC_06085,JCPCII_05635,NBEOAO_05950,PCCNPO_06220,PHLMCF_06105,PKBKFP_02445,PIBPLO_05415,ANPMBA_02810,BAFCMA_01410,BLBGDF_06220,EHBDBJ_04540,HJLJNF_00250,BAJPIG_06360,APGEGG_05590,NEBDOP_00640,MGPBOF_01280,DFCAKE_06305
tauA,tauA;,ABC-type nitrate/sulfonate/bicarbonate transport system periplasmic component;Extracellular solute-binding protein;hypothetical protein;SsuA/THI5-like domain-containing protein,KJLOJH_03910,LNJOGA_02800,HJJLOO_00775,EPDCMN_02490,GPKCOC_02260,IHLOPM_02590,CLAOCJ_02725,GHNAGB_03115,IJGNPO_03070,,,,,,,,,,,,,,,,AJAHNJ_05040,PKJNEJ_03655,AMDBBD_00020,GPDHPC_01135,JCPCII_02960,NBEOAO_01535,PCCNPO_05610,PHLMCF_05495,PKBKFP_03350,PIBPLO_03085,ANPMBA_00685,BAFCMA_03140,BLBGDF_02975;BLBGDF_02970,EHBDBJ_01490,HJLJNF_04610,BAJPIG_04130,APGEGG_05055,NEBDOP_02885,MGPBOF_03570,DFCAKE_04145
amyA,amyA,Glycosidase/amylase (phosphorylase),,,,,,,,,,KPEAED_03680,ELBENF_05040,LGGJCL_05735,DIAHAC_02600,IBBMBI_03495,EIINPM_05575,EHJGFL_02780,IKLBLD_04985,LFGIBF_06205,BMHCBD_06415,HEOCGC_04965,,,,,AJAHNJ_05980,PKJNEJ_07130,AMDBBD_03000,GPDHPC_05960,JCPCII_05510,NBEOAO_06240,PCCNPO_06095,PHLMCF_05950,PKBKFP_02590,,ANPMBA_02885,BAFCMA_01280,BLBGDF_06080,,HJLJNF_00095,BAJPIG_06510,APGEGG_05745,NEBDOP_00490,MGPBOF_01130,DFCAKE_00495
group_2227,,ribonuclease H,KJLOJH_02405,LNJOGA_01035,HJJLOO_02215,EPDCMN_03930,,,,,,KPEAED_04890,ELBENF_05385,LGGJCL_04080,DIAHAC_04420,IBBMBI_05515,EIINPM_05320,EHJGFL_01920,IKLBLD_03420,LFGIBF_01655,BMHCBD_03900,HEOCGC_01385,,,,,,,,,,,,PHLMCF_02835,PKBKFP_05605,PIBPLO_04725,ANPMBA_01225,BAFCMA_04790,BLBGDF_02915,EHBDBJ_00275,HJLJNF_06235,BAJPIG_05745,APGEGG_01105,NEBDOP_01255,MGPBOF_01915,DFCAKE_05695
yidD,yidD,membrane protein insertion efficiency factor YidD,KJLOJH_00780,LNJOGA_04290,HJJLOO_04625,EPDCMN_05185,GPKCOC_05390,IHLOPM_03690,CLAOCJ_05465,GHNAGB_00330,IJGNPO_00335,,,,,,,,,,,,,,,,AJAHNJ_00355,PKJNEJ_00240,AMDBBD_03435,GPDHPC_04825,JCPCII_01390,NBEOAO_04465,PCCNPO_04730,PHLMCF_01220,PKBKFP_00660,PIBPLO_00500,ANPMBA_05020,BAFCMA_05995,BLBGDF_00485,,HJLJNF_00840,BAJPIG_00410,APGEGG_01825,NEBDOP_06610,MGPBOF_00620,DFCAKE_06860
relE~~~parE,relE;parE;,Addiction module toxin RelE;Plasmid stabilization system protein ParE;type II toxin-antitoxin system RelE/ParE family toxin,,,,,,,,,,KPEAED_01585,ELBENF_03655,LGGJCL_01335,DIAHAC_00705,IBBMBI_05660,EIINPM_06190,EHJGFL_05380,IKLBLD_04035,LFGIBF_04305,BMHCBD_04325,HEOCGC_00430,HIANCF_01655,PHGDKJ_02625,,LEAIBD_02575,AJAHNJ_02275;AJAHNJ_02270,PKJNEJ_04450,AMDBBD_00415,GPDHPC_00670,JCPCII_02305,NBEOAO_01090,,PHLMCF_03995,,,ANPMBA_03750,,,,HJLJNF_03005,BAJPIG_02530,APGEGG_03605,NEBDOP_04485,MGPBOF_05230,DFCAKE_02565
group_1195,,DUF3791 domain-containing protein,,,,,,,,,,KPEAED_05930,ELBENF_01250,LGGJCL_03080,DIAHAC_00060,IBBMBI_02145,EIINPM_00280,EHJGFL_02540,IKLBLD_03580,,BMHCBD_01480,HEOCGC_06050,,,,,AJAHNJ_05220,PKJNEJ_03835,AMDBBD_00200,GPDHPC_00955,JCPCII_03140,NBEOAO_01355,PCCNPO_05790,PHLMCF_06320,PKBKFP_04620,,ANPMBA_02325,,BLBGDF_03515,EHBDBJ_01660,HJLJNF_05130,BAJPIG_04645,APGEGG_02325,NEBDOP_02365,MGPBOF_03035,DFCAKE_04600
group_780,,ABC transporter;Putative ABC transporter-associated repeat protein,,LNJOGA_00340,HJJLOO_04265,EPDCMN_00025,GPKCOC_04635,IHLOPM_00030,CLAOCJ_00405,GHNAGB_05520,IJGNPO_05430,KPEAED_00020,ELBENF_03890,LGGJCL_00020,DIAHAC_00035,IBBMBI_02980,EIINPM_05270,EHJGFL_01015,IKLBLD_02630,LFGIBF_05860,BMHCBD_05730,,,,,,AJAHNJ_05470,PKJNEJ_06785,AMDBBD_02665,GPDHPC_01755,JCPCII_06020,NBEOAO_04840,PCCNPO_00020,,,PIBPLO_05065,,,,,HJLJNF_06640,,,,,DFCAKE_06090
group_619,,Cell surface protein,,LNJOGA_00335,HJJLOO_04270,EPDCMN_00020,GPKCOC_04640,IHLOPM_00025,CLAOCJ_00400,GHNAGB_05525,IJGNPO_05435,KPEAED_00015,ELBENF_03895,LGGJCL_00015,DIAHAC_00040,IBBMBI_02985,EIINPM_05265,EHJGFL_01020,IKLBLD_02625,LFGIBF_05865,BMHCBD_05735,,,,,,AJAHNJ_05465,PKJNEJ_06790,AMDBBD_02670,GPDHPC_01750,JCPCII_06015,NBEOAO_04835,PCCNPO_00015,,,PIBPLO_05070,,,,,HJLJNF_06645,,,,,DFCAKE_06095
group_330,,Putative surface-anchored protein;Cell surface protein;Actinobacterial surface-anchored domain protein,,LNJOGA_00330,HJJLOO_04275,EPDCMN_00015,GPKCOC_04645,IHLOPM_00020,CLAOCJ_00395,GHNAGB_05530,IJGNPO_05440,KPEAED_00010,ELBENF_03900,LGGJCL_00010,DIAHAC_00045,IBBMBI_02990,EIINPM_05260,EHJGFL_01025,IKLBLD_02620,LFGIBF_05870,BMHCBD_05740,,,,,,AJAHNJ_05460,PKJNEJ_06795,AMDBBD_02675,GPDHPC_01745,JCPCII_06010,NBEOAO_04830,PCCNPO_00010,,,PIBPLO_05075,,,,,HJLJNF_06650,,,,,DFCAKE_06100
group_259,,hypothetical protein;Alpha-amylase,,,,,,,,,,KPEAED_03660,ELBENF_05020,LGGJCL_05715,DIAHAC_02580,IBBMBI_03515,EIINPM_05555,EHJGFL_02800,IKLBLD_04965,LFGIBF_06225,BMHCBD_06435,HEOCGC_04945,,,,,AJAHNJ_05960,PKJNEJ_07150,AMDBBD_03020,GPDHPC_05935,JCPCII_05485,NBEOAO_06220,PCCNPO_06075,,PKBKFP_02610,,ANPMBA_02865,BAFCMA_01260,BLBGDF_06060,,HJLJNF_00075,BAJPIG_06530,APGEGG_05765,NEBDOP_00470,MGPBOF_01110,DFCAKE_00475
group_2058,,ABC transporter permease,,,,,,,,,,KPEAED_02700,ELBENF_04145,LGGJCL_02415,DIAHAC_05185,IBBMBI_00280,EIINPM_00880,EHJGFL_06535,IKLBLD_00540,LFGIBF_03410,BMHCBD_00810,HEOCGC_03840,HIANCF_00875,PHGDKJ_03395,LJKDMD_00040,LEAIBD_03335,,,,,,,,PHLMCF_03250,PKBKFP_01375,PIBPLO_03735,ANPMBA_00410,BAFCMA_02865,BLBGDF_04520,,HJLJNF_04335,BAJPIG_03855,APGEGG_05330,NEBDOP_03160,MGPBOF_03850,DFCAKE_03870
group_1999,cadD,Cadmium resistance protein CadD putative permease,,,HJJLOO_01340,EPDCMN_03055,GPKCOC_01545,,6_refound_12,GHNAGB_02460,IJGNPO_02430,KPEAED_05695,,LGGJCL_03335,DIAHAC_00435,,EIINPM_01410,,,,BMHCBD_01790,HEOCGC_00775,HIANCF_01720,PHGDKJ_02560,LJKDMD_05315,LEAIBD_02510,,PKJNEJ_02830,,,,,,,PKBKFP_01405,PIBPLO_03745,ANPMBA_00350,,BLBGDF_01005,EHBDBJ_02305,HJLJNF_04275,BAJPIG_02460,,NEBDOP_04555,MGPBOF_05295,43_refound_210
uRH1,;uRH1,nucleoside hydrolase;Inosine-uridine nucleoside N-ribohydrolase,,,,,,,,,,KPEAED_01935,ELBENF_04855,LGGJCL_01675,DIAHAC_05925,IBBMBI_03745,EIINPM_03540,EHJGFL_02990,IKLBLD_02005,LFGIBF_04115,BMHCBD_00085,HEOCGC_03110,HIANCF_00120,PHGDKJ_04135,LJKDMD_00730,LEAIBD_04045,,PKJNEJ_05555,AMDBBD_01585,,,NBEOAO_05810,PCCNPO_00990,PHLMCF_04680,,,ANPMBA_04365,,,EHBDBJ_05790,,BAJPIG_03220,APGEGG_02915;APGEGG_02910,NEBDOP_03795,MGPBOF_04490,DFCAKE_03260
group_1475,,DUF2178 domain-containing protein,KJLOJH_03580,LNJOGA_02210,,,,IHLOPM_03300,,,,,ELBENF_01405,,,IBBMBI_05865,EIINPM_04610,,,LFGIBF_02600,BMHCBD_01635,HEOCGC_05285,HIANCF_01630,PHGDKJ_02650,LJKDMD_05385,LEAIBD_02600,AJAHNJ_04405,PKJNEJ_02965,AMDBBD_05750,,,,,PHLMCF_03975,PKBKFP_01705,,ANPMBA_03765,BAFCMA_05170,BLBGDF_03165,,HJLJNF_02990,BAJPIG_02515,APGEGG_03620,NEBDOP_04500,MGPBOF_05245,DFCAKE_02550
